Region	Country	ISO_code	ADM1	Latitude	Longitude	Year_start	Year_end	Age_start	Age_end	Individuals_surveyed	Number_Positives	Prevalence
Africa	Angola	AO	Bengo	-8.58527	13.59035	2010	2010	0	80	7	1	0.14286
Africa	Angola	AO	Bengo	-8.62627	13.68851	2010	2010	0	80	12	2	0.16667
Africa	Angola	AO	Bengo	-8.61058	13.5579	2010	2010	0	80	83	8	0.09639
Africa	Angola	AO	Bengo	-8.62011	14.2284	2010	2010	0	80	84	32	0.38095
Africa	Angola	AO	Bengo	-8.5303	13.72491	2010	2010	0	80	21	2	0.09524
Africa	Angola	AO	Bengo	-8.60425	13.62522	2010	2010	0	80	80	4	0.05
Africa	Angola	AO	Bengo	-8.62514	13.97782	2010	2010	0	80	53	9	0.16981
Africa	Angola	AO	Bengo	-8.62479	13.75433	2010	2010	0	80	24	0	0
Africa	Angola	AO	Bengo	-8.64164	14.01967	2010	2010	0	80	63	4	0.06349
Africa	Angola	AO	Bengo	-8.5965	13.55244	2010	2010	0	80	93	63	0.67742
Africa	Angola	AO	Bengo	-8.64139	13.67769	2010	2010	0	80	25	1	0.04
Africa	Angola	AO	Bengo	-8.53289	13.79967	2010	2010	0	80	37	4	0.10811
Africa	Angola	AO	Bengo	-8.393	13.733	2010	2010	0	80	55	2	0.03636
Africa	Angola	AO	Bengo	-8.57368	13.54202	2010	2010	0	80	50	3	0.06
Africa	Angola	AO	Bengo	-8.64771	14.0442	2010	2010	0	80	61	10	0.16393
Africa	Angola	AO	Bengo	-8.57115	13.52756	2010	2010	0	80	32	1	0.03125
Africa	Angola	AO	Bengo	-8.388	13.772	2010	2010	0	80	32	0	0
Africa	Angola	AO	Bengo	-8.5365	13.7213	2010	2010	0	80	8	2	0.25
Africa	Angola	AO	Bengo	-8.532	13.692	2010	2010	0	80	53	0	0
Africa	Angola	AO	Bengo	-8.628011	14.08838	2010	2010	0	80	50	4	0.08
Africa	Angola	AO	Bengo	-8.535	13.884	2010	2010	0	80	7	0	0
Africa	Angola	AO	Bengo	-8.49445	13.82177	2010	2010	0	80	14	3	0.21429
Africa	Angola	AO	Bengo	-8.57188	13.67278	2010	2010	0	80	71	30	0.42254
Africa	Angola	AO	Bengo	-8.61998	14.22051	2010	2010	0	80	77	15	0.19481
Africa	Angola	AO	Bengo	-8.58808	13.64072	2010	2010	0	80	83	17	0.20482
Africa	Angola	AO	Bengo	-8.59152	13.60939	2010	2010	0	80	43	5	0.11628
Africa	Angola	AO	Bengo	-8.58497	13.59818	2010	2010	0	80	61	6	0.09836
Africa	Angola	AO	Bengo	-8.64921	14.16037	2010	2010	0	80	49	4	0.08163
Africa	Angola	AO	Bengo	-8.643	13.793	2010	2010	0	80	3	0	0
Africa	Angola	AO	Bengo	-8.59955	13.53501	2010	2010	0	80	45	5	0.11111
Africa	Angola	AO	Bengo	-8.52267	13.68633	2010	2010	0	80	35	1	0.02857
Africa	Angola	AO	Bengo	-8.58268	13.66638	2010	2010	0	80	87	7	0.08046
Africa	Angola	AO	Bengo	-8.75398	13.91604	2010	2010	0	80	19	2	0.10526
Africa	Angola	AO	Bengo	-8.55742	13.69416	2010	2010	0	80	36	7	0.19444
Africa	Angola	AO	Bengo	-8.72098	13.79316	2010	2010	0	80	31	3	0.09677
Africa	Angola	AO	Bengo	-8.63459	14.00663	2010	2010	0	80	9	0	0
Africa	Angola	AO	Bengo	-8.61429	14.20523	2010	2010	0	80	47	6	0.12766
Africa	Angola	AO	Bengo	-8.439	13.82	2010	2010	0	80	7	0	0
Africa	Burundi	BI	Bururi	-3.85986	29.481001	2007	2007	10	16	60	0	0
Africa	Burundi	BI	Cibitoke	-2.84253	29.2787	2007	2007	10	16	60	2	0.03333
Africa	Burundi	BI	Ngozi	-2.83856	29.6702	2007	2007	10	16	60	8	0.13333
Africa	Burundi	BI	Bubanza	-3.16364	29.3888	2007	2007	10	16	60	5	0.08333
Africa	Burundi	BI	Bujumbura	-3.41623	29.4095	2007	2007	10	16	60	19	0.31667
Africa	Burundi	BI	Mwaro	-3.53128	29.7467	2007	2007	10	16	60	23	0.38333
Africa	Burundi	BI	Makamba	-4.20334	29.708401	2007	2007	10	16	60	2	0.03333
Africa	Burundi	BI	Muyinga	-2.89833	30.3589	2007	2007	10	16	60	4	0.06667
Africa	Burundi	BI	Kirundo	-2.53364	30.351601	2007	2007	10	16	60	5	0.08333
Africa	Burundi	BI	Cankuzo	-3.22755	30.603001	2007	2007	10	16	60	4	0.06667
Africa	Burundi	BI	Cibitoke	-2.77653	29.0767	2007	2007	10	16	60	0	0
Africa	Burundi	BI	Makamba	-4.17233	30.0172	2007	2007	10	16	60	1	0.01667
Africa	Burundi	BI	Cankuzo	-3.17063	30.7673	2007	2007	10	16	60	2	0.03333
Africa	Burundi	BI	Ngozi	-2.79925	29.9471	2007	2007	10	16	60	2	0.03333
Africa	Burundi	BI	Karuzi	-3.12156	30.003	2007	2007	10	16	60	24	0.4
Africa	Burundi	BI	Makamba	-4.29587	29.570801	2007	2007	10	16	54	0	0
Africa	Burundi	BI	Rutana	-3.77378	30.043699	2007	2007	10	16	60	18	0.3
Africa	Burundi	BI	Kayanza	-3.15793	29.709	2007	2007	10	16	60	37	0.61667
Africa	Burundi	BI	Ruyigi	-3.6178	30.280899	2007	2007	10	16	60	9	0.15
Africa	Burundi	BI	Bururi	-3.74238	29.667601	2007	2007	10	16	60	3	0.05
Africa	Burundi	BI	Kirundo	-2.55958	30.024401	2007	2007	10	16	60	1	0.01667
Africa	Burundi	BI	Gitega	-3.45176	29.8818	2007	2007	10	16	60	36	0.6
East and Southeast Asia	China	CN	Yunnan	21.81	100.35	2006	2006	4	99	215	199	0.92558
Africa	Cote D'Ivoire	CI	Agneby	5.661667	-4.143889	2011	2011	0	5	118	6	0.051
Africa	Cameroon	CM	Centre	3.3833	11.5667	1993	1993	5	15	76	45	0.592
Africa	Eritrea	ER	Gash Barka	15.1074	37.587399	2002	2002	5	16	40	0	0
Africa	Eritrea	ER	Anseba	15.8688	38.458199	2002	2002	5	16	40	0	0
Africa	Eritrea	ER	Debub	15.1004	38.8325	2002	2002	5	16	40	0	0
Africa	Eritrea	ER	Anseba	15.5975	38.8148	2002	2002	5	16	40	0	0
Africa	Eritrea	ER	Maekel	15.3289	38.937199	2002	2002	5	16	40	0	0
Africa	Eritrea	ER	NRS	15.8406	39.055	2002	2002	5	16	41	0	0
Africa	Eritrea	ER	Debub	15.0713	39.048401	2002	2002	5	16	40	0	0
Africa	Eritrea	ER	Debub	14.8328	39.4207	2002	2002	5	16	40	1	0.025
Africa	Eritrea	ER	Debub	14.624	38.8298	2002	2002	5	16	40	1	0.025
Africa	Eritrea	ER	NRS	15.7852	39.336102	2002	2002	5	16	40	0	0
Africa	Eritrea	ER	Maekel	15.4253	38.8974	2002	2002	5	16	42	0	0
Africa	Eritrea	ER	Anseba	15.7777	38.451	2002	2002	5	16	40	0	0
Africa	Eritrea	ER	Maekel	15.5465	38.895199	2002	2002	5	16	40	0	0
Africa	Eritrea	ER	Gash Barka	15.5433	37.884602	2002	2002	5	16	41	0	0
Africa	Eritrea	ER	Debub	14.8873	38.809502	2002	2002	5	16	40	0	0
Africa	Eritrea	ER	Gash Barka	15.0976	37.394001	2002	2002	5	16	42	0	0
Africa	Eritrea	ER	NRS	15.2785	39.573898	2002	2002	5	16	40	0	0
Africa	Eritrea	ER	Debub	14.6168	38.8064	2002	2002	5	16	40	0	0
Africa	Eritrea	ER	Gash Barka	15.1196	37.5965	2002	2002	5	16	40	0	0
Africa	Eritrea	ER	Anseba	15.8296	38.757599	2002	2002	5	16	40	0	0
Africa	Eritrea	ER	Anseba	15.6786	38.3451	2002	2002	5	16	40	0	0
Africa	Eritrea	ER	Anseba	16.2535	38.360901	2002	2002	5	16	40	0	0
Africa	Eritrea	ER	SRS	14.6857	40.958099	2002	2002	5	16	39	0	0
Africa	Eritrea	ER	Gash Barka	15.3187	37.59	2002	2002	5	16	40	0	0
Africa	Eritrea	ER	SRS	14.6846	40.9585	2002	2002	5	16	40	0	0
Africa	Eritrea	ER	Anseba	15.725	38.3167	2002	2002	5	16	40	0	0
Africa	Eritrea	ER	Maekel	15.2105	38.961102	2002	2002	5	16	41	0	0
Africa	Eritrea	ER	NRS	16.663099	38.4832	2002	2002	5	16	40	0	0
Africa	Eritrea	ER	Anseba	15.7866	38.452999	2002	2002	5	16	40	0	0
Africa	Eritrea	ER	Gash Barka	15.2844	37.706402	2002	2002	5	16	40	0	0
Africa	Eritrea	ER	NRS	15.067	39.746601	2002	2002	5	16	41	0	0
Africa	Eritrea	ER	SRS	13.5667	41.5159	2002	2002	5	16	40	0	0
Africa	Eritrea	ER	Anseba	16.053801	38.2108	2002	2002	5	16	40	1	0.025
Africa	Eritrea	ER	Maekel	15.2669	38.895	2002	2002	5	16	40	0	0
Africa	Eritrea	ER	Debub	15.2254	39.1563	2002	2002	5	16	40	0	0
Africa	Eritrea	ER	Anseba	16.012501	38.227901	2002	2002	5	16	40	0	0
Africa	Eritrea	ER	Gash Barka	15.1117	37.602501	2002	2002	5	16	40	0	0
Africa	Eritrea	ER	Maekel	15.338	38.9478	2002	2002	5	16	40	0	0
Africa	Eritrea	ER	Maekel	15.333	38.853901	2002	2002	5	16	40	0	0
Africa	Eritrea	ER	NRS	15.6889	39.4072	2002	2002	5	16	40	0	0
Africa	Ghana	GH	Ashanti	7.29777	-1.69348	2008	2008	9	18	60	4	0.06667
Africa	Ghana	GH	Central	5.13012	-1.20266	2008	2008	8	16	60	3	0.05
Africa	Ghana	GH	Central	5.52141	-1.32958	2008	2008	8	15	60	0	0
Africa	Ghana	GH	Central	5.57634	-1.47065	2008	2008	8	17	60	0	0
Africa	Ghana	GH	Northern	9.08243	-1.82569	2008	2008	10	18	60	2	0.03333
Africa	Ghana	GH	Ashanti	6.59281	-1.85902	2008	2008	10	15	60	4	0.06667
Africa	Ghana	GH	Upper East	10.974	-0.48386	2008	2008	11	19	60	2	0.03333
Africa	Ghana	GH	Ashanti	6.58103	-1.11844	2008	2008	9	18	60	1	0.01667
Africa	Ghana	GH	Northern	8.47081	-2.1748	2008	2008	8	18	60	0	0
Africa	Ghana	GH	Northern	9.67984	0.17254	2008	2008	7	18	60	2	0.03333
Africa	Ghana	GH	Northern	8.92265	0.26661	2008	2008	5	19	60	0	0
Africa	Ghana	GH	Eastern	7.17522	0.194175	2008	2008	11	11	1	0	0
Africa	Ghana	GH	Ashanti	6.97185	-2.1059	2008	2008	7	18	60	0	0
Africa	Ghana	GH	Western	6.32644	-3.01553	2008	2008	8	16	59	10	0.16949
Africa	Ghana	GH	Central	6.20005	-2.15405	2008	2008	6	20	58	0	0
Africa	Ghana	GH	Eastern	7.00249	0.175915	2008	2008	7	16	60	0	0
Africa	Ghana	GH	Upper East	11.0007	-0.818165	2008	2008	11	18	59	4	0.0678
Africa	Ghana	GH	Northern	10.1355	-1.34494	2008	2008	9	19	60	0	0
Africa	Ghana	GH	Upper West	10.6826	-2.03469	2008	2008	9	27	60	0	0
Africa	Ghana	GH	Upper West	10.9055	-2.17464	2008	2008	10	19	60	0	0
Africa	Ghana	GH	Upper West	10.1322	-2.40027	2008	2008	8	15	60	0	0
Africa	Ghana	GH	Brong Ahafo	7.77859	-0.480775	2008	2008	9	19	60	1	0.01667
Africa	Ghana	GH	Eastern	6.84981	-0.0222	2008	2008	10	18	60	0	0
Africa	Ghana	GH	Upper East	10.5116	-1.37215	2008	2008	8	22	60	1	0.01667
Africa	Ghana	GH	Northern	9.9209	-0.30299	2008	2008	4	17	60	0	0
Africa	Ghana	GH	Western	4.9743	-1.89335	2008	2008	9	17	60	0	0
Africa	Ghana	GH	Brong Ahafo	8.21325	-0.649185	2008	2008	7	18	60	0	0
Africa	Ghana	GH	Eastern	5.78349	-0.2328	2008	2008	9	15	60	2	0.03333
Africa	Ghana	GH	Upper West	10.8429	-1.92346	2008	2008	11	18	60	0	0
Africa	Ghana	GH	Northern	10.2363	0.2371	2008	2008	6	18	60	0	0
Africa	Ghana	GH	Upper East	10.9756	-1.10636	2008	2008	7	16	60	0	0
Africa	Ghana	GH	Western	5.00956	-2.41632	2008	2008	8	16	60	0	0
Africa	Ghana	GH	Upper West	10.6648	-2.78997	2008	2008	10	19	60	0	0
Africa	Ghana	GH	Northern	9.16577	-1.5091	2008	2008	9	21	60	2	0.03333
Africa	Ghana	GH	Ashanti	6.87843	-1.36937	2008	2008	10	19	60	2	0.03333
Africa	Ghana	GH	Northern	8.55702	-0.50885	2008	2008	6	17	60	0	0
Africa	Ghana	GH	Northern	8.84099	-0.92221	2008	2008	7	24	60	3	0.05
Africa	Ghana	GH	Ashanti	6.92548	-1.37612	2008	2008	9	15	60	1	0.01667
Africa	Ghana	GH	Brong Ahafo	7.35144	-2.67901	2008	2008	9	58	60	0	0
Africa	Ghana	GH	Eastern	6.18122	-0.434685	2008	2008	9	16	60	0	0
Africa	Ghana	GH	Northern	9.45928	-2.5272	2008	2008	9	20	60	6	0.1
Africa	Ghana	GH	Ashanti	7.01086	-1.39751	2008	2008	7	16	60	12	0.2
Africa	Ghana	GH	Brong Ahafo	7.33273	-2.33221	2008	2008	10	16	60	0	0
Africa	Ghana	GH	Northern	8.75369	-1.10587	2008	2008	10	21	60	7	0.11667
